"(Não Modificar) Análise do Imóvel","(Não Modificar) Soma de Verificação da Linha","(Não Modificar) Data de Modificação","Proposta","Data de Modificação","Considerar na Garantia","Valor Médio de Mercado","Valor do M2 de Mercado","Valor Médio de Venda Forçada","Valor do M2 de Venda Forçada","Quantidade de Amostras","Mensagem"
"4d0b1add-1cfb-e911-a813-000d3ac0ae35","ePEhAO24fnEMTa3a7fZTBXz13fBqxNsaiCWi8c0ViWRiK0lGPvixj32B3ea+rKFm2R2w3wFqd2H4hg5fOsKRUA==",05/11/19 11:42,"PRO-02339-S3J9C6",05/11/19 08:42,"Sim","3800000,00",,"3800000,00",,,
"40f3503e-e41c-ea11-a810-000d3a887300","4PzVFY6/dJX24tmq9s3UrgKdN7q+kyoagHiiAm3zvG4rmfH/XvK5uNxeGPA7u+qisAE3i6ozNTLFw1LU0vhbSw==",04/02/20 21:40,"PRO-03011-F8F5B8",04/02/20 18:40,"Sim","420000,00","6218,54","420000,00","6218,54",0,
"9ebbef37-f11c-ea11-a810-000d3a887300","vR+AsCu10T6gBrxB4SL9k/YiZMFm72DPlUXnmorl017NSexMLBcMSk1Uv3yQ4h3t4QpeQ9DYCdkKk1xKeUohPQ==",07/04/20 14:38,"PRO-02898-F2D0F4",07/04/20 11:38,"Sim","215927,42","3427,42","215927,42","3427,42",3,
"10422da0-0c1d-ea11-a810-000d3a887300","bzltLER736lAt5m+GBJGki/oL8m/Wpv5O9KpSzmg8jqTetAul1CisC4BMyqaevOfnCtPnrwQXxz5/w4Gi/vPGQ==",15/01/20 11:29,"PRO-02923-Z9G3H9",15/01/20 08:29,"Não","2000000,00","3039,51","2000000,00","3039,51",0,
"35e4aa70-131d-ea11-a810-000d3a887300","M3tVfCKneiRtTjFCACA9wdRbu8+wDgDBaFYmTRdKB5mzrLauWjekAfX39GJhuuVEAxLN8qVRA6qluEz+9m/2fw==",31/01/20 17:45,"PRO-03007-D0Q3M9",31/01/20 14:45,"Sim","1312002,90","3131,27","1312002,90","3131,27",6,
"78cdad67-181d-ea11-a810-000d3a887300","inaML3l6NL+h0uA9zPJ/I9U/v+18BwSTWq8426oo665/aYDgo65AavSDR4TNG0WFqBE1XHPTOr2Ar5ZmSn7KtA==",18/12/19 18:50,"PRO-02894-G2Y1M4",18/12/19 15:50,"Sim","2384767,23","8761,73","2384767,23","8761,73",5,
"8b79df29-ba1d-ea11-a810-000d3a887300","xY65ohwCFlGhmezv1J7Z+G1zoLf/SGjZXuI9QfLfOGgF9Vz40UYsHdrx1ipylYopUEuPaFW40wOgHyxTcsOI3w==",16/02/20 22:46,"PRO-02910-R3L1D7",16/02/20 19:46,"Não","328382,98","2474,63","328382,98","2474,63",4,
"fa5d53a9-ba1d-ea11-a810-000d3a887300","N+0k5SHJQ03K5vhOUZaLRcH2wgPuGjl883IkSiBOTcexTYrCZO4pQUF3i3cf0mf+j5P2LEadcMjHeGR3lo4Tjg==",16/02/20 22:46,"PRO-02910-R3L1D7",16/02/20 19:46,"Não","3458247,04","2437,45","3458247,04","2437,45",4,
"25b5ba4b-3720-ea11-a810-000d3a887300","TevKhEqA8YT17MYnvASnx1YZJUAW4FSDbgqkROLsWJxQuKu6yj9hzPzpJ93v+x8AurD9pSerwb5f0CdKe0+3KA==",23/12/19 16:56,"PRO-03032-T5F5Q5",23/12/19 13:56,"Sim","413554,02","5079,27","413554,02","5079,27",6,
"29a3c40b-4b20-ea11-a810-000d3a887300","XXMYD9lxtAsajuiG3ym1zr96X7BJP11z4HRR00VbYpP2ECcQvuBy4KgxoNU5jfRhrDEhpfcdxoHfLqwfGBQ4tA==",16/12/19 21:28,"PRO-02970-T1V9L0",16/12/19 18:28,"Sim","900000,00","6413,45","900000,00","6413,45",0,
"a616f883-d020-ea11-a810-000d3a887300","4V4ZTbGo1g6bWQIDpP3EjC9Gq17DZAILqI8O9xbOJLsWHtF5AUaSLdoiDb/vKc8X82LyboXGKBbQMdUS56G5tg==",26/12/19 14:31,"PRO-03078-M1G9T6",26/12/19 11:31,"Sim","535500,00","6467,39","535500,00","6467,39",4,
"18c3e630-d420-ea11-a810-000d3a887300","yn4+kxRQWf5EboIkefWWM2JvSnjkHWkauBBz22wP1Iry2tE2IIzTbl0GS/du2WZpbh+oCIGlV7uj4CixdcdEhg==",09/01/20 18:08,"PRO-03083-G5W0M6",09/01/20 15:08,"Sim","9300000,00","1748120,30","9300000,00","1748120,30",0,
"f91383b5-d420-ea11-a810-000d3a887300","sR8UVfwAh81t0mOW8o09q+ps9op3MMEnqI+UbnRxtbCji8o1YrUeXfdlKkFZlfpnms804e7iarJohoahFRngQg==",09/01/20 18:08,"PRO-03083-G5W0M6",09/01/20 15:08,"Sim","3500000,00","2100,84","3500000,00","2100,84",0,
"6f763a16-db20-ea11-a810-000d3a887300","jAJ7bJj0rwlt5AoxFWFptQc/Sbtz9NPMYPqVJ7k5D8kuRNrPO1tdv6VmVkq29SRt0HafFTA2tJcRmb8n1y/8lg==",20/01/20 13:18,"PRO-03003-X1D3Q1",20/01/20 10:18,"Não","465503,08","2995,13","465503,08","2995,13",4,
"8b93a1d0-a721-ea11-a810-000d3a887300","O3DqagXLSoMPoZLIszFjdpxLtppmsISE/sMA8lETCoD81b+VN1+VQgs1ntkot/iB45EaBM6N+BZIceFfVYmMnQ==",23/12/19 12:54,"PRO-02978-F6F7F8",23/12/19 09:54,"Sim","218275,75","6778,75","218275,75","6778,75",4,
"54358260-d221-ea11-a810-000d3a887300","CxDmF2qDNu9LVO3SUbwSlIDYZpbzzelkp5drP5csuJ3dM9i4qnhNFBDSv6D4oP0ax1Wyif05qpAHio6xYB1Xfg==",20/01/20 19:49,"PRO-03054-Z6B3S1",20/01/20 16:49,"Sim","577770,31","3588,86","577770,31","3588,86",6,
"29d1d874-9522-ea11-a810-000d3a887300","da4CY6xGBIbPGLy9GsLCP0RHTf5A2wJzi5X4QfHvtYIHgDmseo84JSk6o0Tb58fQFrQRBVNMSOapTZZ5NatBdA==",27/12/19 19:15,"PRO-03024-H5L1R0",27/12/19 16:15,"Não","2800000,00","13801,26","2800000,00","13801,26",0,
"c311ad87-a922-ea11-a810-000d3a887300","ACGHoiImGrXtqPEKRKPJwQwIjkAlIEEbuV+4f/nY5RJSHWh0iGDbaw3+Xv00VNBJsm4TAvPWDPvmNo33Vwd6FQ==",23/12/19 17:07,"PRO-03122-G7S4P8",23/12/19 14:07,"Sim","826826,00","5135,57","826826,00","5135,57",5,
"831a4595-ad22-ea11-a810-000d3a887300","dOJitauDv/TQ8UKm6newMMBahU9nWWnp/HUe1N09yEpLOPQWlAKoDPZ99zRVnLlUqk2r+ne8jY2hyJAl4J4odw==",23/12/19 17:07,"PRO-03122-G7S4P8",23/12/19 14:07,"Sim","1870481,55","8025,75","1870481,55","8025,75",3,
